ID,RAW,DID_MATCH,EXACT,ADDRESS,X,Y,
4970,"51 Boniface Street Subiaco AR 72865, , , ",Match,Non_Exact,"51 BONIFACE, SUBIACO, AR, 72865",-93.633371606112,35.2919630305503,R
3640,"1001 Grizzly Way, Ambler, AK 99786, , , ",No_Match,,,,,
4971,"51 Boniface Street Subiaco AR 72865, , , ",Match,Non_Exact,"51 BONIFACE, SUBIACO, AR, 72865",-93.633371606112,35.2919630305503,R
2306,"260 Seldovia Street, Seldovia, AK 99663, , , ",No_Match,,,,,
3638,"1 Airport Way, Wales, AK 99783, , , ",No_Match,,,,,
4969,"216 Fire Dept Loop Dardanelle AR 72835, , , ",No_Match,,,,,
2305,"66265 Aspen Ave, Ninilchik, AK 99639, , , ",No_Match,,,,,
3639,"101 White Mountain Hill Road, White Mountain, AK 99784, , , ",No_Match,,,,,
2304,"58260 Sterling Hwy, Kasilof, AK 99669, , , ",No_Match,,,,,
2303,"59906 Bear Creek Drive, Homer, AK 99603, , , ",No_Match,,,,,
2302,"3935 Svedlund St, Homer, AK 99603, , , ",Match,Exact,"3935 SVEDLUND ST, HOMER, AK, 99603",-151.537193958963,59.6474811448716,L
2301,"491 E Pioneer Avenue, Homer, AK 99603, , , ",Match,Exact,"491 E PIONEER AVE, HOMER, AK, 99603",-151.533381889476,59.6472022746287,L
2300,"144 N Binkley, Soldotna, AK 99669, , , ",Match,Non_Exact,"144 N BINKLEY ST, SOLDOTNA, AK, 99669",-151.072174158043,60.489235605653,L
3630,"102 Ashinuk Street, Scammon Bay, AK 99662, , , ",No_Match,,,,,
4961,"7908 Norht St Hwy 109 Magazine AR 72943, , , ",No_Match,,,,,
3631,"Main Street, Shaktoolik, AK 99771, , , ",No_Match,,,,,
4962,"801 S Elm Searcy AR 0, , , ",Match,Non_Exact,"801 S ELM ST, SEARCY, AR, 72143",-91.7407379647931,35.2413010982629,L
3632,"Shishmaref, AK 99772, , , ",No_Match,,,,,
